_c0,Date,Number_of_Retweets,Tweet
35,"23 April",782,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
36,"23 April",782,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
39,"23 April",849,"RT @EmineDzheppar: #Kharkiv, Viktor Hubariev, 79, killed by #Russian bomb. He went out to buy bread and bring it back home to his daughter…"
43,"23 April",782,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
45,"23 April",687,"RT @MFA_Ukraine: Our heroes are risking their lives to save animals 💙💛

We are grateful to all the shelters and volunteers working to save…"
46,"23 April",782,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
48,"23 April",335,"RT @joncoopertweets: 🇺🇦🇺🇸 BREAKING: President Zelenskyy is expecting Secretary of State Tony Blinken and Defense Secretary Lloyd Austin to…"
49,"23 April",782,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
51,"23 April",782,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
52,"23 April",849,"RT @EmineDzheppar: #Kharkiv, Viktor Hubariev, 79, killed by #Russian bomb. He went out to buy bread and bring it back home to his daughter…"
53,"23 April",167,"RT @avalaina: A firefighter rescues books from the rubble in Chernihiv.
April 22, 2022
#StandWithUkraine 
Photo Emilio Morenatti https://t.…"
54,"23 April",288,"RT @ua_parliament: 🛑 PLEASE SHARE THIS INFO! 
We need humanitarian corridors from #Mariupol! Help save Mariupol!

#SaveMariupol #StopRussia…"
